,Zip Code,Is Open,Open,Is Started,Construction Started,Is Announced,Announced
Beacon Hill,98144,TRUE,2009,TRUE,2002,TRUE,1996
Columbia City,98108,TRUE,2009,TRUE,2002,TRUE,1996
International District/Chinatown,98104,TRUE,2009,TRUE,2002,TRUE,1996
Mount Baker,98144,TRUE,2009,TRUE,2002,TRUE,1996
Othello,98118,TRUE,2009,TRUE,2002,TRUE,1996
Pioneer Square,98104,TRUE,2009,TRUE,2002,TRUE,1996
Rainier Beach,98118,TRUE,2009,TRUE,2002,TRUE,1996
SeaTac/Airport,98188,TRUE,2009,TRUE,2002,TRUE,1996
SODO,98134,TRUE,2009,TRUE,2002,TRUE,1996
Stadium,98134,TRUE,2009,TRUE,2002,TRUE,1996
Tukwila International Boulevard,98188,TRUE,2009,TRUE,2002,TRUE,1996
University Street,98101,TRUE,2009,TRUE,2002,TRUE,1996
Westlake,98101,TRUE,2009,TRUE,2002,TRUE,1996
Angle Lake,98188,TRUE,2016,TRUE,2010,TRUE,2008
Capitol Hill,98102,TRUE,2016,TRUE,2002,TRUE,1996
University of Washington,98195,TRUE,2016,TRUE,2002,TRUE,1996
Northgate,98125,FALSE,2021,TRUE,2012,TRUE,2008
Roosevelt,98115,FALSE,2021,TRUE,2012,TRUE,2008
U District,98105,FALSE,2021,TRUE,2012,TRUE,2008
Bel-Red/130th,98005,FALSE,2023,TRUE,2016,TRUE,2008
Bellevue Downtown,98004,FALSE,2023,TRUE,2016,TRUE,2008
East Main,98004,FALSE,2023,TRUE,2016,TRUE,2008
Judkins Park,98144,FALSE,2023,TRUE,2016,TRUE,2008
Mercer Island,98040,FALSE,2023,TRUE,2016,TRUE,2008
Overlake Village,98052,FALSE,2023,TRUE,2016,TRUE,2008
Redmond Technology,98052,FALSE,2023,TRUE,2016,TRUE,2008
South Bellevue,98004,FALSE,2023,TRUE,2016,TRUE,2008
Spring District/120th,98004,FALSE,2023,TRUE,2016,TRUE,2008
Wilburton,98004,FALSE,2023,TRUE,2016,TRUE,2008
Downtown Redmond,98052,FALSE,2024,FALSE,,TRUE,2016
Federal Way,98003,FALSE,2024,FALSE,,TRUE,2016
Kent/Des Moines,98032,FALSE,2024,FALSE,,TRUE,2016
SE Redmond,98052,FALSE,2024,FALSE,,TRUE,2016
Shoreline North/185th,98133,FALSE,2024,TRUE,2019,TRUE,2008
Shoreline South/145th,98133,FALSE,2024,TRUE,2019,TRUE,2008
South 272nd Street,98003,FALSE,2024,FALSE,,TRUE,2016
Alaska Junction,,FALSE,2030,FALSE,,TRUE,2016
Avalon,,FALSE,2030,FALSE,,TRUE,2016
Delridge,,FALSE,2030,FALSE,,TRUE,2016
South Federal Way,,FALSE,2030,FALSE,,TRUE,2016
Boeing Access Road,,FALSE,2031,FALSE,,TRUE,2016
Graham,,FALSE,2031,FALSE,,TRUE,2016
NE 130th Street,,FALSE,2031,FALSE,,TRUE,2016
Ballard,,FALSE,2035,FALSE,,TRUE,2016
Denny,,FALSE,2035,FALSE,,TRUE,2016
Interbay,,FALSE,2035,FALSE,,TRUE,2016
Midtown,,FALSE,2035,FALSE,,TRUE,2016
Seattle Center,,FALSE,2035,FALSE,,TRUE,2016
Smith Cove,,FALSE,2035,FALSE,,TRUE,2016
South Lake Union,,FALSE,2035,FALSE,,TRUE,2016
Central Issaquah,,FALSE,2041,FALSE,,TRUE,2016
Eastgate,,FALSE,2041,FALSE,,TRUE,2016
Lakemont,,FALSE,2041,FALSE,,TRUE,2016
Richards Road,,FALSE,2041,FALSE,,TRUE,2016
South Kirkland,,FALSE,2041,FALSE,,TRUE,2016